20220610T072537Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220610T072549Z | Ln: 50 | 'Bak 2 G:\ Complete'
20220610T072549Z | Ln: 54 | 
20220610T081023Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220610T081043Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220610T081043Z | Ln: 49 | 
20220612T172344Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220612T172405Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220612T172405Z | Ln: 49 | 
20220612T183633Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220612T183653Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220612T183653Z | Ln: 49 | 
20220613T070712Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220613T070730Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220613T070730Z | Ln: 49 | 
20220613T153036Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220613T153055Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220613T153055Z | Ln: 49 | 
20220613T183738Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220613T183758Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220613T183758Z | Ln: 49 | 
20220615T071056Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220615T071056Z | Ln: 49 | 
20220615T174648Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220615T174648Z | Ln: 49 | 
20220616T161422Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220616T161422Z | Ln: 49 | 
20220616T162618Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220616T162638Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220616T162638Z | Ln: 49 | 
20220617T070947Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220617T070948Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220617T070948Z | Ln: 49 | 
20220617T155439Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220617T155441Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220617T155441Z | Ln: 49 | 
20220617T180134Z | Ln: 31 | 'Bak 2 F:\ Complete'
20220617T180136Z | Ln: 45 | 'Bak 2 G:\ Complete'
20220617T180136Z | Ln: 49 | 
20220620T180040Z | Ln: 33 | 'Bak 2 F:\ Complete'
20220620T180040Z | Ln: 51 | 
20220621T072358Z | Ln: 33 | 'Bak 2 F:\ Complete'
20220621T072358Z | Ln: 51 | 
20220622T185514Z | Ln: 33 | 'Bak 2 F:\ Complete'
20220622T185514Z | Ln: 51 | 
20220629T175424Z | Ln: 33 | 'Bak 2 F:\ Complete'
20220629T175424Z | Ln: 51 | 
